Fifth,Sixth,Seventh,Eighth,Ninth,Tenth
85,79,96,89,86,89
94,78,84,77,74,80
94,91,78,96,70,87
95,73,71,95,99,84
83,72,79,81,100,82
91,89,82,79,89,86
75,70,78,83,72,77
83,80,77,79,73,76
100,85,91,90,82,88
90,89,72,71,95,84
97,100,81,75,83,87
70,70,85,73,95,79
82,99,83,79,92,88
73,96,89,93,94,87
70,86,70,93,81,78
76,86,97,84,88,87
71,82,70,90,71,78
90,74,79,80,80,82
100,93,77,72,87,87
77,91,96,86,71,83
76,100,100,96,70,86
79,97,95,97,74,87
92,93,95,98,78,91
73,88,72,79,93,79
92,86,77,93,73,84
70,72,80,79,96,79
98,91,100,76,92,93
90,94,91,86,91,90
98,75,81,84,80,81
98,92,76,77,97,87
95,75,88,84,87,87
93,84,83,74,72,82
81,73,79,86,79,80
70,74,82,85,70,76
78,89,92,70,96,83
73,82,82,82,75,79
80,79,98,78,76,83
90,77,84,78,87,84
85,72,75,78,78,76
82,80,73,86,72,80
70,95,86,88,80,81
93,94,87,99,84,93
75,80,70,97,71,76
83,100,84,75,92,88
72,97,92,73,89,85
72,94,71,95,86,82
83,85,92,80,78,81
89,89,79,99,82,88
88,98,81,97,76,89
100,80,99,84,96,91
72,81,94,98,83,85
88,90,90,78,97,87
84,100,79,93,95,88
99,93,81,90,97,91
84,94,100,78,99,90
91,91,94,97,83,90
73,92,86,86,79,82
71,76,95,80,86,82
99,96,72,87,92,88
76,77,86,77,73,77
95,84,72,74,83,82
70,74,71,88,97,80
81,75,79,72,97,81
86,86,74,99,87,86
91,81,95,95,84,87
100,74,83,79,93,85
100,70,94,96,71,87
80,78,75,80,75,78
90,94,86,82,94,90
92,92,87,76,94,87
92,97,70,89,86,88
80,96,80,86,94,88
72,75,81,83,85,77
75,85,70,88,74,77
88,96,84,97,93,91
81,78,74,86,100,82
86,94,96,100,100,94
82,87,93,76,93,85
96,87,95,88,91,90
100,99,98,99,76,96
96,75,99,88,99,92
76,91,75,90,83,81
96,82,77,86,76,82
77,87,87,100,76,86
95,96,94,90,80,89
97,93,72,87,72,84
86,82,75,74,86,78
77,95,74,86,87,85
78,98,76,89,85,85
72,90,78,87,79,80
87,76,97,94,85,87
78,76,88,77,73,78
94,86,92,70,81,85
75,93,87,97,77,85
93,95,76,88,92,88
77,82,95,73,79,81
89,74,94,87,71,81
80,95,76,95,92,88
99,92,91,74,87,87
92,99,91,94,73,89
78,80,77,80,73,78
93,96,100,92,90,93
94,92,70,73,84,83
86,90,99,81,99,91
87,83,73,92,93,83
82,96,84,89,85,86
88,80,85,74,100,85
90,78,77,98,73,82
100,78,95,98,83,91
93,80,74,96,82,85
99,75,87,84,95,89
90,98,81,94,81,87
71,75,70,72,86,73
82,83,75,79,70,78
83,84,74,90,82,81
73,86,81,88,80,82
71,84,93,98,74,86
82,92,72,71,77,79
84,70,94,74,97,85
83,76,85,82,82,80
96,74,85,93,86,84
75,75,89,78,78,80
86,84,87,94,100,90
74,89,98,82,79,84
89,96,83,77,88,86
86,82,98,76,83,87
70,96,73,99,100,86
72,95,81,85,94,83
90,80,73,84,86,82
72,88,81,72,81,76
94,93,96,70,100,89
77,78,89,85,85,83
76,92,98,78,87,86
75,88,93,92,100,89
94,83,75,75,78,80
82,94,73,89,79,84
75,71,71,75,81,76
80,73,77,99,85,84
98,95,94,100,71,89
85,88,89,83,92,87
97,78,85,90,82,85
100,90,78,98,84,89
80,89,87,86,82,83
97,74,97,98,81,91
91,100,75,82,77,84
96,97,82,96,87,90
72,81,73,88,78,77
94,79,72,82,75,78
85,85,86,71,94,83
92,79,80,99,73,85
75,82,93,83,99,84
73,92,71,94,81,83
77,79,77,77,86,81
83,95,98,72,84,84
83,90,82,84,71,81
89,73,89,92,90,85
84,97,85,74,77,83
100,80,83,96,77,86
84,74,70,89,85,81
70,78,83,78,97,81
97,80,76,94,96,89
95,78,82,86,79,86
80,96,71,87,98,86
73,97,85,99,93,91
88,88,80,97,100,90
80,88,90,89,87,84
70,70,92,81,78,77
90,80,77,93,81,82
86,92,78,73,74,82
73,92,89,90,95,88
75,72,80,78,80,78
90,75,77,89,78,81
99,80,93,99,90,93
87,95,87,95,71,85
87,81,83,79,73,78
90,71,72,100,100,88
92,74,83,76,96,82
80,95,96,73,71,83
75,87,96,83,75,81
96,92,86,90,73,85
70,91,93,89,90,88
91,77,83,84,76,83
98,79,87,98,76,86
98,82,93,94,85,89
